doc,sentence
3,about ropes and gray.
3,ropes and gray llp is a preeminent global law firm focused on providing the highest-quality advice on our clients’ critical legal and business issues.
3,"our global team of 2,500 talented professionals regularly helps clients meet high-stakes challenges, solve complex problems and achieve key goals."
3,"these colleagues work together across a global office network that includes offices in boston, chicago, hong kong, london, new york, san francisco, seoul, shanghai, silicon valley, tokyo and washington, d.c. ."
3,"we are a contemporary firm that can bring more than 150 years of legal and institutional history to bear on the challenges clients face in today’s global, 24 7 business environment."
3,"our collaborative approach gives our clients—which include many of the world’s most respected companies and institutions—ready access to leading corporate, litigation, transactional and regulatory lawyers whose knowledge and experience span industries and geographies."
3,"with an international presence, we focus primarily on the asset management, technology, life sciences, health care and real estate industries."
3,"our clients include global industry leaders, financial institutions, investment firms, private equity firms, hospitals and health care organizations, educational institutions and individuals. ."
3,"we have consistently been recognized for our leading practices in many areas, including private equity, manda, life sciences, health care, finance, investment management, hedge funds, tax, real estate, intellectual property, commercial and securities litigation, government enforcement, antitrust, and privacy and data security."
3,ropes and gray is an equal opportunity employer. .
3,"the data governance project lead will lead projects designed to improve the quality and flow of information across the firm, including the integrity, efficiency, and availability of data."
3,"the incumbent will document data-related requirements as well as recommend and implement data governance and management tools, processes, and solutions to enable the organization to achieve its goals. ."
3,"this lead will be responsible for creation and maintenance of an enterprise data dictionary, ensuring data quality standards are met and working with business partners to enforce data governance policies and procedures."
3,"the incumbent will assist with implementation and oversight of the firm’s data governance goals, standards, practices, processes and technologies."
3,essential functions .
3,"lead the development and implementation of processes, procedures, and best practices that support the firm’s data governance program. ."
3,"promote and contribute to the vision of the program, stewardship practices and training needs in conjunction with the data architect and business data owners. ."
3,provide user training and education in proper use and management of enterprise data. .
3,"communicate (verbal and written) regularly with business data owners, data stewards and team members to gather requirements and champion data governance initiatives. ."
3,"be expert in firm data, understanding the definition, context, lineage, quality standards and proper use of all master and reference data attributes and metrics. ."
3,create and maintain a business glossary and enterprise data dictionary for the firm. .
3,collaborate with internal teams responsible for developing and delivering data management solutions and services to ensure appropriate use of data. .
3,"develop and implement metrics and processes to assess data quality and data quality improvement effortseducation, experience and skills required . 5+ years experience as a senior analyst focused on business process or data quality initiatives."
3,"strong relationship management skills with internal clients (e.g. management, peers, and colleagues); proven ability to develop collaborative approaches. ."
3,ability to communicate complex information to a non-technical audience. .
3,advanced business analysis and problem solving skills and demonstrated experience in the use of data and its transformation into information. .
3,"demonstrated experience documenting business workflows, change management procedures, and data quality processes. ."
3,"confident, comfortable communicator with strong written and verbal communication skills."
3,able to present and speak publically to systems users and stakeholders. .
3,"ability to manage multiple priority projects and shift priorities as needed as well as produce accurate and precise work, detect discrepancies and resolve discrepancies all while meeting deadlines. ."
3,"be an organized individual that is willing to accept responsibility, demonstrate good judgment, initiative, and resourcefulness, and is able to adapt and learn quickly. ."
3,basic level of proficiency writing sql queries or use of business intelligence tools
